cluster_id,persona_name,product_id,product_name,brand_name,combined_text,high_satisfaction,sentiment_label
0,Makeup & General Enthusiasts,P164932,Minted Rose Lip Balm,Rosebud Perfume Co.,i wish it wasn't so hard to open! love the salve itself but it is so darn difficult to open sometimes! gets me very frustrated!,0,negative
0,Makeup & General Enthusiasts,P483455,The Weighted Razor Kit,Hanni,"bummer this razor is extremely well made and i had such high hopes for it. however, even though i was very careful i looked liked i’d been attacked by a machete. i love the shave pillow and will conti...",0,negative
0,Makeup & General Enthusiasts,P12045,Grape Water Moisturizing Face Mist,Caudalie,"meh.. love caudalie, but this is seriously nothing special. it’s pricey, plain, unscented water. save your pennies and get some out of the tap..",0,neutral
0,Makeup & General Enthusiasts,P459300,Mini GOOPGLOW Morning Skin Superpowder,goop,yesssssss i love everything goop! so i was extremely excited to receive this as a gift! the energy it provides me is fantastic,1,positive
0,Makeup & General Enthusiasts,P483455,The Weighted Razor Kit,Hanni,perfect shave loving this razor because it provides such a close shave. i love that it’s weighted and that makes it easier to handle. the color is pretty and so appealing too. this pairs perfectly wit...,1,positive
0,Makeup & General Enthusiasts,P431180,Self Tanning Bronzing Face Drops,Isle of Paradise,fast acting and effective! love these for evening out my skin in the summer. so pretty.,1,positive
0,Makeup & General Enthusiasts,P283106,Instant FIRMx Eye Temporary Eye Tightener,Peter Thomas Roth,residue. this has so much potential. the residue is a challenge. would love to hear from peter thomas roth specialist on application tips.,0,negative
0,Makeup & General Enthusiasts,P501178,YUZU-C Glow-On Shot Serum,WASO,surprisingly i love it. usually im not a big fan of serums.,1,positive
0,Makeup & General Enthusiasts,P455909,Facial Spray with Aloe Sage & Orange Blossom,Mario Badescu,refreshing and affordable refreshes my sleepy working afternoon in heater dried office seat! not a fan to the scent at first but slowly fall in love later,1,positive
0,Makeup & General Enthusiasts,P469196,Supplement Case,SEPHORA COLLECTION,"as a person who is on regular meds, this is perfect for my purse. it’s small but the compartments are big enough to hold enough medication for a while. i honestly love it.",1,positive
1,Daily Skincare Users,P443845,Hyaluronic Acid Hydrating Serum,The INKEY List,"i have seen improvements in my skin, so quite happy with this purchase.",1,positive
1,Daily Skincare Users,P409800,Cleansing & Exfoliating Wipes,SEPHORA COLLECTION,"pupper approved honestly you guys this is so exfoliating, a bit rough if you press too hard but overall gets rid of flaky skin. me likeeee!!!",1,positive
1,Daily Skincare Users,P503693,Bouncy Brightfacial Brightening Mask with 10% Azelaic Acid + 1% Salicylic Acid,Drunk Elephant,this seemed to help my dull skin. if it wasn’t so expensive i’d be buying again when it runs out,1,positive
1,Daily Skincare Users,P442563,AHA 30% + BHA 2% Exfoliating Peeling Solution,The Ordinary,the not so ordinary ordinary. followed the instructions as stated and have noticed how the product has brought to the skin surface unwanted debris. skin is clear and bright.,1,positive
1,Daily Skincare Users,P377533,Alpha Beta Universal Daily Peel Pads,Dr. Dennis Gross Skincare,very strong not for everyday dries the skin out..not for me i’m going to return,0,negative
1,Daily Skincare Users,P431840,Coconut Milk Bath Soak,Herbivore,fun purchase for relaxing baths i got this in a set with a scrub and bath salts. i wish the directions included the ideal amount to use in a bath. there is likely an ideal amount out there. however th...,0,neutral
1,Daily Skincare Users,P432242,Blackhead Solutions 7 Day Deep Pore Cleanse & Face Scrub,CLINIQUE,transformed my skin. wish i had known about this product 20 years ago!,1,positive
1,Daily Skincare Users,P479318,10% Niacinamide Night Mask,Farmacy,another hit farmacy gifted me this product and it is ah-mazing! the hydration and refinement this gave to my skin is shocking! from the first application i woke up and was honestly shook at not only h...,1,positive
1,Daily Skincare Users,P427410,Vitamin C Suspension 23% + HA Spheres 2%,The Ordinary,no thanks. not a fan. it stung on my skin and had a coarseness to it when applying.,0,negative
1,Daily Skincare Users,P188307,Acne Solutions Clarifying Lotion,CLINIQUE,"thanks, clinique! this product changed my skin totally!! thanks clinique!",1,positive
2,Moisture & Texture Fans,P500472,Mini Plum Plump Hyaluronic Acid Moisturizer,Glow Recipe,"leave in the store very creamy and feels wonderful; however, you want to talk about drying out my skin?? horrible! my forehead and cheeks turned into a desert. my forehead! i’m italian, so i have a na...",0,negative
2,Moisture & Texture Fans,P480613,The Treatment Lotion,La Mer,"this la mer hydrated is game changer! it’s extremely fast absorbing when you first apply it and smoothes out the textures on your skin. after cleansing my skin, i rub this all over my skin and layer o...",1,positive
2,Moisture & Texture Fans,P442840,Barrier+ Triple Lipid-Peptide Face Cream,Skinfix,a glass of water for the skin! my skin: gulp...gulp...gulp...silky...hydrating and keeps my face moisturized!,1,positive
2,Moisture & Texture Fans,P394639,The True Cream Aqua Bomb,belif,"clean moisture surge i have been on the hunt for a toxic free equivalent of moisture surge by clinique with a texture like gel. i love this alternative for my dehydrated, sensitive, combination skin. ...",1,positive
2,Moisture & Texture Fans,P385631,"Great Skin, Great Deal Set for Combination Oily Skin",CLINIQUE,"can't live without it! get it. great for combo skin, i use it everyday. can’t live without. goes on watery soaks into skin, light but effective allows skin to breather why staying moisturized in any s...",1,positive
2,Moisture & Texture Fans,P445951,Midnight Recovery Concentrate Moisturizing Face Oil,Kiehl's Since 1851,"absorbs into skin easily, and very soothing on the skin",1,positive
2,Moisture & Texture Fans,P479860,Mini Barrier+ Triple Lipid-Peptide Face Cream,Skinfix,keeps the moisture locked in i see why it is an award winner. one pumo is all i need for my face and it not only hydrates and repairs but keeps the moisture in my skin. no tewl here.,1,positive
2,Moisture & Texture Fans,P453823,Vital-E Antioxidant Recovery Eye Cream,Peter Thomas Roth,"obsessed i love how this line protects your microbiome (an invisible shield of protection on your skin). these products protect against pollution, blue light, and aging. lemme break down why that is t...",1,positive
2,Moisture & Texture Fans,P469862,Rich Bitch Cactus + Vitamin C Moisturizer,Freck Beauty,melts into my skin so well. very rich without being heavy. combo skin,1,positive
2,Moisture & Texture Fans,P454378,Lotus Anti- Aging Daily Moisturizer,fresh,"the current version is sad, original was great. so the original formula of this (which was discontinued in the beginning of 2020) was heavenly and i’d used is for about 3 years as my day moisturizer. ...",0,negative
3,Acne & Blemish Care,P474938,Vinopure Natural Salicylic Acid Pore Minimizing Serum,Caudalie,bye bye acne was suffering from maskne for a solid year! read the reviews and bought this and barely get any breakouts anymore. it’s my new go to serum!,1,positive
3,Acne & Blemish Care,P482535,Strawberry Smooth BHA + AHA Salicylic Acid Serum,Glow Recipe,"this serum pairs nicely with other products, with no pilling. it cleared up three acne spots i had starting along my jawline in just a couple days. definitely start slow and avoid other actives when i...",1,positive
3,Acne & Blemish Care,P474938,Vinopure Natural Salicylic Acid Pore Minimizing Serum,Caudalie,skin changer thank you caudalie for this miracle serum. i have almost perfected my once very problematic skin with high end products but bought this on a whim as i love caudalie. this is now my favour...,1,positive
3,Acne & Blemish Care,P392246,T.L.C. Framboos Glycolic Resurfacing Night Serum,Drunk Elephant,ive used this serum every other night for three weeks. i got cystic acnes on my chin nose and cheek. i generally have clear skin and rarely have cystic acne. this is second item from this brand that h...,0,negative
3,Acne & Blemish Care,P455900,100% Plant-Derived Hemi-Squalane,The Ordinary,"no thanks. isoparaffin is the ingredient listed on here. a little sus that there are no ingredients listed in the bottle. here’s what i found out: they are also potentially carcinogenic. petrolatum, i...",0,negative
3,Acne & Blemish Care,P442594,Ultra Glow Serum: Glow + Strengthen Vitamin C Serum,SEPHORA COLLECTION,caused breakouts i purchased this based on reviews that said it’s a good dupe for olehenriksen truth serum (my skin loved it but i wanted something cleaner). it was a decent dupe as far as thin textur...,0,negative
3,Acne & Blemish Care,P474840,Micro-Dose Anti-Aging Retinol Serum with Ceramides and Peptide,Kiehl's Since 1851,"not for everyone, definitely not me... my skin is far from perfect so i was really excited to try the new retinol serum from kiehls. retinol is supposed to be great for acne, and ceramides and peptide...",0,negative
3,Acne & Blemish Care,P427420,Multi-Peptide + HA Serum,The Ordinary,"i will literally never stop buying this my sensitive, combination skin can actually handle this moisturizing serum. it combats the flaky skin i get around my nose and between my brows without activati...",1,positive
3,Acne & Blemish Care,P501169,Vitamin C Lactic 15% Firm & Bright Serum,Dr. Dennis Gross Skincare,"needed vit c this vit c serum does the wonderful work of making the skin look more radiant, and a lot smoother within a week of use. i can see some of my stubborn acne scars fading away. the formula i...",1,positive
3,Acne & Blemish Care,P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,"visible reduction of non-acne forehead bumps! in the last year after moving from nyc to a city in a v humid climate, i’ve gone from almost perfect skin with the occasional bout of hormonal acne to goo...",1,positive
4,Lip Care Seekers,P42204,Rosebud Salve,Rosebud Perfume Co.,a beauty essential you won’t need any other lip balms if you’ve this in your bag. this is a must-have. say bye bye to chapped/cracked lips and winter woes.,1,positive
4,Lip Care Seekers,P12573,Intense Therapy Lip Balm SPF 25,Jack Black,"jack black lip balm is ""the bomb!"" this product is the complete package-- hydrates and moisturizes. it reminds me a lot of carmex (the yellow/red tube you can get at the drug store).. but better! exce...",1,positive
4,Lip Care Seekers,P42204,Rosebud Salve,Rosebud Perfume Co.,"rosebud salve after reading the reviews online, i decided to give it a try. i just bought the rosebud salve yesterday and can already say that this stuff is absolutely amazing!! i have been on the hun...",1,positive
4,Lip Care Seekers,P459127,Platinum Lip Plump SPF 30,Dr. Lara Devgan Scientific Beauty,love this lip plumper- it removes all the creases in my lips making them look hydrated & luscious. wish i could give it extra stars for having spf in it!,1,positive
4,Lip Care Seekers,P266126,Rosebud Salve in a Tube,Rosebud Perfume Co.,sadly my lips become more cracked than before i applied it! the cheaper drug store lip balms work better for me!,0,negative
4,Lip Care Seekers,P443563,Lip Glowy Balm,LANEIGE,obsessed slayed the house boots down houston i’m deceased. truly the best lip balm that i own. i originally got the berry flavor and was sold - it actually keeps your lips moisturized and tastes great...,1,positive
4,Lip Care Seekers,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,"lip i purchased this product 3 times. i’m wondering if they changed the formula. this time by lips feel chapped, burning and dry. such a disappointment from my previous 2 purchases.",0,negative
4,Lip Care Seekers,P500777,Sugar Lip Balm Hydrating Treatment,fresh,so drying! not sure why some people find this moisturizing! it’s seriously overpriced for a product that actually does the opposite. i usually put it on before bedtime like i have with other lip balms...,0,negative
4,Lip Care Seekers,P443563,Lip Glowy Balm,LANEIGE,"love the balm and the gloss it gives to my lips. however, i do wish it was more moisturizing and had a longer wear.",0,neutral
4,Lip Care Seekers,P453225,The Kissu Lip Mask,Tatcha,"nope huge fan of tatcha but this product was a flop. it is nice and pretty when first applied but after a couple minutes, it fades and my lips are drier than ever! i mean, chapped and peeling everywhe...",0,negative
