product_id,product_name,brand_name,combined_text,true_label,predicted_label,confidence,error_type
P443352,Mini Daily Microfoliant Exfoliator,Dermalogica,great product love this product i use it once a day and it keeps my skin soft and my pores clear. i would highly recommend.,1,1,0.9999877764532192,TP
P438620,Nourishing Moisturizer with Prebiotics,SEPHORA COLLECTION,love it love love love this moisturizer. i use it every morning and my skin feels nice and soft all day. its not greasy and a little goes a long way. overall a great product. highly recommend giving t...,1,1,0.9999820142705734,TP
P429952,Jet Lag Mask,Summer Fridays,"the best mask out there! i love this mask. i travel weekly for work and this is my go to as it keeps my skin hydrates after flights! it’s makes my skin so soft, keeps a nice balance and gives my face ...",1,1,0.9999752220088162,TP
P432262,Self Tan Purity Bronzing Water Face Mist,St. Tropez,best tanner absolutely love! perfect even glow. super natural!,1,1,0.9999720137344597,TP
P230538,Brumisateur Natural Mineral Water Facial Spray Travel Duo,Evian,"love love love this! this is amazing! feels so refreshing anytime you feel hot, dry, tired, sick, etc. it is so wonderful and i highly recommend. i use several times a day because it’s so refreshing. ...",1,1,0.9999661829050116,TP
P442840,Barrier+ Triple Lipid-Peptide Face Cream,Skinfix,love it love this moisturizer so much so lightweight and looks amazing on my skin . i have dry skin and this is so good i absolutely love this brand so much . my skin has improved so much since using ...,1,1,0.999964144722557,TP
P456412,Greek Yoghurt Foaming Cream Cleanser,KORRES,"a must have! i love this cleanser so much. i’m obsessed with the scent it has, it’s so clean and sweet. it’s also so gentle and creamy it leaves my skin feeling so soft after and making my skin look s...",1,1,0.9999606371373356,TP
P453818,GENIUS Collagen Calming Relief,Algenist,"wow! great product! i’ve been using this product for a 10-day trial and wow! this is some crazy good stuff! my skin feels so soft, and my redness has been greatly reduced. it’s very soothing without b...",1,1,0.9999595940534566,TP
P504523,Futuredew Facial Oil-Serum Hybrid,Glossier,great product and i love everything glossier has t i have dry skin and this is amazing very moisturizing and makes my skin look dewy and fresh. i will use this in the summer in place of foundation aft...,1,1,0.999956171244099,TP
P504001,Ceramidin Skin Barrier Serum Toner,Dr. Jart+,wow! i love it! i have rosecea and this is amazing on my skin! leaves my skin hydrated so good! does not irritate my skin at all i highly recommend it!,1,1,0.9999556910866403,TP
P467762,Mini Watermelon Glow PHA + BHA Pore-Tight Toner,Glow Recipe,"not for me disappointed, didn’t do much for my skin personally.",0,0,0.999997965854449,TN
P484067,Evercalm Barrier Support Face Oil,REN Clean Skincare,"not for me. felt nice, but did nothing for me. i think it broke me out too. i ended up returning.",0,0,0.9999936217851653,TN
P417936,Rose & Hyaluronic Acid Deep Hydration Toner,fresh,not for me! wanted to love this product but unfortunately it only left me to break out all over my face :(,0,0,0.9999829744332761,TN
P443352,Mini Daily Microfoliant Exfoliator,Dermalogica,useless wanted to love it but did nothing for my skin.not worth the money.,0,0,0.9999798128194909,TN
P423688,Daily Microfoliant Exfoliator,Dermalogica,useless wanted to love it but did nothing for my skin.not worth the money.,0,0,0.9999798128194909,TN
P438643,The Balance pH Balancing Gel Cleanser,BeautyBio,"disappointing i had high hopes for this. unfortunately, i haven’t noticed any difference in my skin. not worth the price!",0,0,0.9999757733953539,TN
P418218,The Water Cream Oil-Free Pore Minimizing Moisturizer,Tatcha,not for me! #combinationskin this was not for me and i returned it immediately. it did not moisturize my skin the least or control oil in my tzone. i ended up breaking out and it was a mess. i wanted ...,0,0,0.9999720374618781,TN
P376726,Maracuja Oil,tarte,not for me it made me breakout unfortunately. wish it worked,0,0,0.9999674745961695,TN
P430337,C-Rush Vitamin C Gel Moisturizer,OLEHENRIKSEN,not for me really wanted to like this cream after all the great reviews but it’s not for my skin. i liked the texture of the cream and the smell is nice but it made me break out little tiny bumps all ...,0,0,0.9999638928718704,TN
P455926,Retinol Reform Treatment Serum,Shani Darden Skin Care,"definitely not buying again i used this diligently until it was finished and i did not see any improvement at all in my face, nothing. i was really disappointed. such a waste of money. i will not buy ...",0,0,0.9999609112564664,TN
P423259,Cicapair Tiger Grass Serum,Dr. Jart+,"i received this product as a free sample and love it! this really helped with calming my skin reduce redness, and soothe irritation will purchase!",0,1,0.9946121385187777,FP
P473820,Advanced Night Repair Eye Concentrate Matrix Synchronized Multi-Recovery Complex,Estée Lauder,try it! you will love it! this serum is great. i have been using it for 2 weeks and have seen a much more synchronized skin color and softer under eyes. they feel hydrated. my concealer goes on smooth...,0,1,0.990413712882468,FP
P448853,Mini SOS Daily Rescue Facial Spray,Tower 28 Beauty,"definitely calms my skin and helps to lock in my moisturizer. this is a great skincare “extra” to have, but not a personal “must have” in my routine.",0,1,0.9898329314164676,FP
P480612,Santorini Grape Poreless Skin Cream,KORRES,really like this product. my face felt so smooth and fresh after using.,0,1,0.9856788219394151,FP
P188309,Acne Solutions Cleansing Foam,CLINIQUE,"ance skin care just starting using once a day, and it is great. very gentle on my skin, and has helped me gained a better appreciation for clinique products.",0,1,0.9807265993101763,FP
P417936,Rose & Hyaluronic Acid Deep Hydration Toner,fresh,"absolutely love this product. leaves my skin feeling fresh, soft, and hydrated. it’s definitely a ride or die in my skincare routine. my only complaint is the petals they put in the bottle. it’s a nic...",0,1,0.9786084222476447,FP
P461159,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex Serum,Estée Lauder,"influenster voxbox i had the pleasure of trying this serum out from influenster and i can say it left my skin feeling so super smooth, soft and hydrated. i normally have dry skin so i was excited to s...",0,1,0.9780808695786228,FP
P297524,Clear Improvement Active Charcoal Mask to Clear Pores,Origins,"great value this is a nice masque. it’s only $16, so you can’t go wrong.",0,1,0.976685334812774,FP
P482269,Get Even Sun Milk SPF 33,Josie Maran,good this product definitely was worth it an totally changed my skin care game procter me from so many sun easy and left me looking nice and gooey after a whole day of wear i absolutely loved it and t...,0,1,0.9757948736284784,FP
P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,love this lippie!! makes my lips feel so nice and lush. only down side here is that i’m a big lip licker and this lippie is no match for my late night lip licking. please make your lippies more relian...,0,1,0.9714689669352448,FP
P455368,15% Vitamin C and EGF Brightening Serum,The INKEY List,"meh decent, but not great. not a lot of liquid for the bottle size. would not purchase again.",1,0,0.9998482050611022,FN
P446423,InvisiScar Post-Acne Resurfacing Treatment,Murad,"it's okay. it’s an okay product, but is heavy on my skin and didn’t really do anything.",1,0,0.9994255790925869,FN
P432048,Resurfacing AHA + BHA Serum,Tata Harper,"doesn't do much this is an ok serum. it has a very strong floral scent and a thin almost drying texture. if you’re sensitive to scent, i don’t recommend it. i have not felt a great deal of exfoliation...",1,0,0.9992752599515311,FN
P442744,Watermelon Glow Ultra-Fine Mist,Glow Recipe,not a glow this product was ok not my favorite i didn’t notice a @glow” in my skin probably would not purchase again,1,0,0.9990744967853903,FN
P474079,Goodbye Acne   Complete Acne Treatment Gel,Peter Thomas Roth,it’s okay didn’t see any improvement. but also didn’t make my face worse. overall not a bad product.,1,0,0.9988127524217455,FN
P500114,Retinol Resurfacing Night Moisturizer,Community Sixty-Six,i wish this product was more for my skin. i didn’t see any huge results and instead i broke out more. i also just have sensitive skin in general so maybe this wasn’t for me!,1,0,0.9984961870628298,FN
P442564,Emerald CBD + Adaptogens Deep Moisture Glow Oil,Herbivore,... not buying received a sample. the smell is strong and unpleasant. eventually fades. not sure it didn’t anything. not enough time. won’t be purchasing.,1,0,0.9982697910804151,FN
P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,just okay this is just ok. i didn’t notice a dramatic difference in my lips but it does smell nice and my lips do feel soft but it’s really not that much different than using drugstore vaseline lip th...,1,0,0.9976208712817455,FN
P174502,All About Eyes Rich Eye Cream,CLINIQUE,"just ok this is an ok eye cream, but probably won’t buy again with the amount of results i found.",1,0,0.9962020507165336,FN
P421235,Double Serum Firming & Smoothing Anti-Aging Concentrate,Clarins,"just okay i tried this serum out thanks to influenster - it’s really just okay. the serum smelled nice and the texture was fine. however, it took a while to absorb into my skin and it felt like it lef...",1,0,0.9956795791315198,FN
